TEXTBODY,Category
Tracy We will provide payment information tomorrow.,Paid by Customer
I make my weekly payment and this is not correct. Have payment confirmation emails as well! call to discuss!!  ASAP Christine ,Paid by Customer
I am out of town until Tuesday but will take care of this on Tuesday.,Promised
I am out of the office and will be returning on April 3rd. I will not have access to my email while I am gone. If you need something before I return contact the office at 801-492-4344,Out of office
"Can we get a week please? I think we established enough credit by now.., I cant go into the account every day to make a payment.Ender",Promised
"note that I have received your email but this address will become inactive soon, due to the wrong people abusing this e-mail address.  I will reply to you with my new e-mail address shortly if this is business related.",Contact Update
I do not have an overdue balance the check is here for your rep I dont appreciate getting emails every week saying Im late either fix this or lose your account with me!! ,Other
"I am currently out of the office and will return on Thursday, April 4th, 2019. If you need immediate assistance contact Tamra at ext. 7071. you and have a great day!",Out of office
"This message has been received. For future messages, update your contacts to: Accounts Payable/ Receivable Nina Estrada",Contact Update
"I am currently out of the office and will be returning April 1st, I will answer all emails at that time. you,",Out of office
